O que é a ENEF (Estratégia Nacional de Educação Financeira)?,Uma política pública permanente para promover a cultura de educação financeira no Brasil.
Quais órgãos compõem o COREMEC no Brasil?,"Banco Central (BCB), CVM, PREVIC e SUSEP."
Qual é a função do CONEF dentro da estrutura da ENEF?,"Responsável pela governança estratégica, definindo planos, programas e coordenando a implementação."
Quem exerce a função de Secretaria-Executiva do CONEF?,O Banco Central do Brasil.
Qual é o papel da AEF-Brasil na ENEF?,Atuar como instância executiva para planejar e administrar as iniciativas transversais da estratégia.
Quais são os três públicos-alvo prioritários da ENEF?,"Crianças, jovens e adultos."
O que são 'Situações Didáticas' no material de educação financeira para escolas?,Atividades que utilizam situações do dia a dia para desenvolver competências financeiras de forma transversal.
Qual foi o principal resultado observado no projeto piloto de Educação Financeira no ensino médio?,"Aumento do conhecimento financeiro, melhoria nas atitudes e mudança real de comportamento de poupança."
O que o portal 'Meu Bolso em Dia' da Febraban oferece como ferramenta gratuita de orçamento?,O software Jimbo.
O que o portal 'Tudo sobre Seguros' da CNSEG busca mitigar no mercado?,A assimetria de informações entre consumidores e seguradoras.
Qual é a orientação para o uso de cartões de crédito em empresas?,Utilizar um cartão exclusivo para a empresa para facilitar a separação e o registro dos gastos.
"Na gestão estratégica de custos, qual a diferença entre 'Planejamento Orçamentário' e 'Fluxo de Caixa'?",O planejamento é uma previsão de gastos; o fluxo de caixa é o registro real de entradas e saídas.
O que são 'Produtos Âncora' em um cardápio de restaurante?,Itens populares com margem baixa que atraem clientes para consumir outros itens com margens maiores.
Qual a principal característica das 'Despesas Fixas' que as diferencia das variáveis?,"A regularidade, independentemente do volume de negócios fechados."
Por que o planejamento orçamentário é considerado um 'guia' para o negócio?,Porque define limites de gastos e norteia a distribuição de recursos para alcançar metas financeiras.
"No contexto de precificação, o que é a 'Elasticidade de Preço'?",A medida de como os clientes reagem (comprando mais ou menos) a alterações nos preços dos produtos.
O que compõe o 'Custo Total' de um prato no ramo alimentício para fins de precificação?,"Ingredientes, despesas operacionais proporcionais e custos indiretos (como embalagens)."
Qual a importância do 'GAP' (Grupo de Apoio Pedagógico) na ENEF?,"Fornecer orientação pedagógica para as ações educacionais, sendo presidido pelo MEC."
Qual o limite de faturamento anual para uma empresa optar pelo regime do Simples Nacional?,"$R\$ 4,8$ milhões."
Qual a principal diferença do 'Lucro Real' em relação aos outros regimes tributários?,"Os impostos incidem sobre o lucro líquido contábil real, permitindo descontar todas as despesas operacionais."
O que é o 'Crédito Consignado' e por que ele é um risco para aposentados?,Empréstimo com desconto direto na folha; o risco é o superendividamento devido à facilidade de acesso.
Qual a vantagem de centralizar dados financeiros em um software ERP na construção civil?,Evitar decisões baseadas em 'achismos' e permitir a identificação de gargalos financeiros.
O que é o 'PNEF' e quem o coordena?,Programa Nacional de Educação Fiscal; coordenado pelo Ministério da Fazenda via ESAF.
Quais são as duas dimensões da Educação Financeira segundo a ENEF?,"Espacial (do individual ao global) e Temporal (passado, presente e futuro)."
O que significa 'Inadimplência' no contexto empresarial?,A condição de não cumprir com o pagamento de obrigações financeiras ou boletos no prazo.
Por que o 'Markup' é considerado uma técnica replicável?,"Porque uma vez encontrado o índice divisor, ele pode ser aplicado rapidamente a vários produtos com a mesma estrutura de custos."
O que é a 'Educação Financeira Transversal' nas escolas?,"Integrar o tema financeiro em diversas disciplinas (Matemática, Português, História) em vez de uma aula isolada."
Qual a recomendação para o valor do Pró-labore em períodos de faturamento instável?,Basear o valor no pior mês de faturamento da empresa para evitar desequilíbrio no caixa.
